id,name,category,source,modified,has_density,has_embedding,aliases
ae68776c-24d5-4c76-9b84-5592ed605dad,Biscotte au germe de blé,,ciqual,False,False,False,
ce84e8b9-537d-4a37-b445-b97772ee5774,Biscotte aux céréales,,ciqual,False,False,False,
36d5e938-4a80-4fc9-af61-c009ff4c4d41,Biscotte briochée,,ciqual,False,False,False,
b3137891-bab0-419d-b491-b3be3e45afd6,Biscotte classique,,ciqual,False,False,False,
9d27fe8c-e82e-469f-b4e0-3c8f63b03b1b,"Biscotte, sans sel ajouté",,ciqual,False,False,False,
0b5a738d-209c-4fbb-afec-8f7f35c6d5c0,"Biscuit (génoise), fourré aux fruits (ex : orange, cerise…), nappé de chocolat",,ciqual,False,False,False,
bfeb0e7e-4c36-48b4-ae86-c6dbae4b4192,"Biscuit (génoise), nappé aux fruits, type barquette",,ciqual,False,False,False,
2e32b8be-6bc9-4f12-ab28-2b7e919f4a27,"Biscuit (génoise), nappé de chocolat, type barquette",,ciqual,False,False,False,
3125007d-5253-4558-b337-0769be4f38dc,"Biscuit apéritif, crêpe dentelle fourrée, préemballée",,ciqual,False,False,False,
9d02ba69-fb8a-4a65-8d91-e4c279c9c106,"Biscuit apéritif, mini-chou fourré, préemballé",,ciqual,False,False,False,
1cdf883d-8dd4-4c01-bc94-2b78eb0c654e,"Biscuit au chocolat fourré (""sandwiché"") parfum vanille, rond, noir et blanc",,ciqual,False,False,False,
c61edb06-c372-4bea-aafe-5d081cbb47be,Biscuit de Savoie,,ciqual,False,False,False,
f4d0506f-6b2f-487a-914d-7f13b154e461,"Biscuit meringué fourré (chocolat, noisette, noix de coco…), nappé ou sur base de chocolat",,ciqual,False,False,False,
3c16a15d-fa8a-48d5-8620-feef1c78a799,Biscuit moelleux fourré à l'orange et enrobé de sucre glace,,ciqual,False,False,False,
69b9cd58-8925-4cb4-93f5-552cac6f0a7f,Biscuit ou cracker apéritif (aliment moyen),,ciqual,False,False,False,
5d79323d-3c37-4c5f-88b1-4d1da7144aa7,"Biscuit ou cracker apéritif, feuilleté (flûtes, torsades, palmiers…), au fromage",,ciqual,False,False,False,
1e7c6feb-654f-4a3d-a491-84984c04535a,"Biscuit ou cracker apéritif, feuilleté (flûtes, torsades, palmiers…), sans fromage",,ciqual,False,False,False,
35a174b0-6f6e-4106-be80-7684a646e0d4,"Biscuit ou cracker apéritif, gaufrette fourrée",,ciqual,False,False,False,
dee8e6ae-45ff-4a79-96a0-00ea77e7caf6,"Biscuit ou cracker apéritif, mini bretzel ou sticks",,ciqual,False,False,False,
0b44b7ce-8764-447e-a481-620af4087349,"Biscuit ou cracker apéritif, soufflé, goût bacon",,ciqual,False,False,False,
b1be6cd6-0359-485b-a5c1-886342a60d38,"Biscuit ou cracker apéritif, soufflé, goût cacahuète",,ciqual,False,False,False,
